Project Name,Merge Scenarios (MS)
microg/NetworkLocation,2
aws/aws-dynamodb-session-tomcat,1
brettwooldridge/NuProcess,23
davidmoten/rxjava-jdbc,24
redwarp/9-Patch-Resizer,7
la-team/light-admin,15
dropwizard/metrics,228
IDPF/epubcheck,81
twilio/twilio-java,238
Multiverse/Multiverse-Core,9
resthub/resthub-spring-stack,128
essentials/Essentials,133
springside/springside4,32
dynjs/dynjs,53
SpoutDev/Spout,64
addthis/stream-lib,42
Spoutcraft/Spoutcraft,14
reficio/p2-maven-plugin,22
structr/structr,1309
hstaudacher/osgi-jax-rs-connector,23
gwt-maven-plugin/gwt-maven-plugin,7
