project;merge commit;class;method; Precision; Exceptions; SdgCreated; CgNodes; CgEdges; SdgNodes; SdgEdges; Time (ms); Memory (M); HasSourcedAndSink; HasLeftToRightVio; HasRightToLeftVio; TotalVios; InstVios; LineVios; DetailedLineVios; Left; Right;LOI;Original Sample;result
orientdb;a5ce3bcc0a1d196745c575ad6602019f7a6b86f8;Orient;startup; N1_OBJECT_SENSITIVE; No; Yes;4197;9213;348745;16247394;822349;188744; Yes; Yes; No;7;1;1; [com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 191) -> com.orientechnologies.orient.core.Orient com.orientechnologies.orient.core.Orient.startup() (line 158)]; [191]; [158];No;Roberto;FALSE POSITIVE
SimianArmy;345ad9513aafff397050d613fa87ad06ddffe99d;BasicJanitorMonkeyContext;getInstanceJanitor;;;;;;;;;;;;;;;;;;;No;Roberto;-
SimianArmy;c39c19bc6b9231601f6bc7358e638a99adf37e0d;BasicSimianArmyContext;BasicSimianArmyContext;;;;;;;;;;;;;;;;;;;No;Roberto;-
alluxio;dafe76c90024a915224264b4862b33f40cb8478c;HdfsFileInputStream;HdfsFileInputStream;;;;;;;;;;;;;;;;;;;No;Roberto;-
voldemort;b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997;VoldemortClientShell;VoldemortClientShell;;;;;;;;;;;;;;;;;;;Yes;Roberto;-
voldemort;4cc1c145819030c8e2baffe4c92383de14b8d880;VoldemortConfig;VoldemortConfig; N1_OBJECT_SENSITIVE; No; Yes;6184;24066;654914;37808900;2230173;112784; Yes; Yes; No;4;4;2; [void voldemort.server.VoldemortConfig.<init>(voldemort.utils.Props) (line 359) -> void voldemort.server.VoldemortConfig.<init>(voldemort.utils.Props) (line 448), void voldemort.server.VoldemortConfig.<init>(voldemort.utils.Props) (line 359) -> void voldemort.server.VoldemortConfig.<init>(voldemort.utils.Props) (line 455)]; [359]; [448, 455];No;Roberto;FALSE POSITIVE
libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;Lwjgl3Application;newWindow; N1_OBJECT_SENSITIVE; No; Yes;1694;30230;154480;9512805;385715;120586; Yes; No; No;0;0;0; []; [318]; [325];No;DeSouza;TRUE NEGATIVE
libgdx;da27e2dae56be0a159e82231e5c3a5b83b099063;Lwjgl3ApplicationConfiguration;copy; N1_OBJECT_SENSITIVE; No; Yes;26;57;2301;15862;91636;78643; Yes; No; No;0;0;0; []; [96, 97, 98, 99]; [107];No;DeSouza;TRUE NEGATIVE
RxJava;a40a4130edcdadc2340da5787ca30353018173f2;OperatorMulticast;connect; N1_OBJECT_SENSITIVE; No; Yes;2356;4124;284401;21067647;602840;157290; Yes; No; No;0;0;0; []; [94]; [128, 129, 131, 117, 118, 119, 120, 121, 122, 124, 125];No;Roberto;TRUE NEGATIVE
RxJava;1c47b0cb26e6d971eefa42ebb3479099236b0125;TestScheduler;triggerActions; N1_OBJECT_SENSITIVE; No; Yes;38;40;792;3932;88886;83886; Yes; No; No;0;0;0; []; [100]; [96, 97, 95];No;DeSouza;TRUE NEGATIVE
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;MongoDBRiverDefinition;parseSettings;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;3d4f99516ba3177f7d88a1f600923138a8b77cc8;Slurper;assignCollections; N1_OBJECT_SENSITIVE; No; Yes;12623;77303;4097106;944706890;195922580;606509; Yes; Yes; Yes;239;239;7; [boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 286) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 286) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 287) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 287) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 289) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 289) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 315), boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 302) -> boolean org.elasticsearch.river.mongodb.Slurper.assignCollections() (line 322)]; [288, 289, 290, 322, 291, 292, 293, 294, 295, 297, 298, 286, 287]; [315, 331, 302];Yes;Roberto;TRUE POSITIVE
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;MongoDBRiverDefinition;parseSettings;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Indexer;applyAdvancedTransformation;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Indexer;processBlockingQueue;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper;run;;;;;;;;;;;;;;;;;;;No;Roberto;-
elasticsearch-river-mongodb;6b6ce8e851c6613213c4508c3f277a80649e0c7b;Slurper;addToStream; N1_OBJECT_SENSITIVE; No; No; -; -; -; -; -; -; -; -; -; -; -; -; -; [752, 747, 748, 751]; [736, 737, 738, 739, 740, 741, 742, 743];Yes;Roberto;-
hector;0588608e7a2bdf974c985ff546207104f672bf6c;HSaslThriftClient;open; N1_OBJECT_SENSITIVE; No; Yes;2551;5103;712873;84906547;20662537;249348; Yes; No; No;0;0;0; []; [96, 97, 94, 111, 95]; [122];No;Roberto;TRUE NEGATIVE
hector;a33a46506656a39d1b0f7780973905665d3b6145;HKerberosThriftClient;open; N1_OBJECT_SENSITIVE; No; Yes;370;719;40873;1192798;373994;136314; Yes; No; Yes;10;10;2; [me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 71) -> me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 88), me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 73) -> me.prettyprint.cassandra.connection.client.HKerberosThriftClient me.prettyprint.cassandra.connection.client.HKerberosThriftClient.open() (line 88)]; [88]; [69, 70, 71, 72, 73, 74, 75, 76];No;Roberto;FALSE POSITIVE
